[2025-04-17 18:29:25] CPU: 0.0% | Mem: 33.4% | Net Sent: 76807866162 B | Net Recv: 112622808653 B
[2025-04-17 18:29:31] CPU: 0.1% | Mem: 34.0% | Net Sent: 76807979366 B | Net Recv: 112623340672 B
[2025-04-17 18:29:37] CPU: 0.0% | Mem: 34.4% | Net Sent: 76811310002 B | Net Recv: 112989882305 B
[2025-04-17 18:29:43] CPU: 0.0% | Mem: 35.3% | Net Sent: 76814295295 B | Net Recv: 113356824983 B
[2025-04-17 18:29:49] CPU: 0.3% | Mem: 36.3% | Net Sent: 76815439265 B | Net Recv: 113599918434 B
[2025-04-17 18:29:55] CPU: 0.0% | Mem: 36.4% | Net Sent: 76816430506 B | Net Recv: 113748932643 B
[2025-04-17 18:30:01] CPU: 0.0% | Mem: 36.4% | Net Sent: 76816622004 B | Net Recv: 113751980035 B
[2025-04-17 18:30:07] CPU: 0.0% | Mem: 37.4% | Net Sent: 76820600538 B | Net Recv: 114118916343 B
[2025-04-17 18:30:13] CPU: 0.3% | Mem: 38.9% | Net Sent: 76823623642 B | Net Recv: 114486076864 B
[2025-04-17 18:30:20] CPU: 0.1% | Mem: 38.4% | Net Sent: 76823836926 B | Net Recv: 114486304006 B
[2025-04-17 18:30:26] CPU: 0.0% | Mem: 39.5% | Net Sent: 76826736223 B | Net Recv: 114876904782 B
[2025-04-17 18:30:32] CPU: 0.3% | Mem: 40.8% | Net Sent: 76829154330 B | Net Recv: 115244191026 B
[2025-04-17 18:30:38] CPU: 0.0% | Mem: 40.3% | Net Sent: 76829284860 B | Net Recv: 115245323691 B
[2025-04-17 18:30:44] CPU: 0.0% | Mem: 41.3% | Net Sent: 76829510154 B | Net Recv: 115615614602 B
[2025-04-17 18:30:50] CPU: 0.1% | Mem: 42.4% | Net Sent: 76829859988 B | Net Recv: 116009472857 B
[2025-04-17 18:30:56] CPU: 0.0% | Mem: 42.4% | Net Sent: 76829967426 B | Net Recv: 116009598759 B
[2025-04-17 18:31:02] CPU: 0.1% | Mem: 43.4% | Net Sent: 76832940213 B | Net Recv: 116376722607 B
[2025-04-17 18:31:08] CPU: 0.1% | Mem: 43.8% | Net Sent: 76833047685 B | Net Recv: 116377245625 B
[2025-04-17 18:31:14] CPU: 0.0% | Mem: 44.4% | Net Sent: 76836161379 B | Net Recv: 116743829199 B
[2025-04-17 18:31:20] CPU: 0.1% | Mem: 45.5% | Net Sent: 76839503868 B | Net Recv: 117134237373 B
[2025-04-17 18:31:26] CPU: 0.0% | Mem: 45.7% | Net Sent: 76839613092 B | Net Recv: 117134746634 B
[2025-04-17 18:31:32] CPU: 0.0% | Mem: 46.4% | Net Sent: 76840216891 B | Net Recv: 117503024737 B
[2025-04-17 18:31:38] CPU: 0.0% | Mem: 47.4% | Net Sent: 76841222010 B | Net Recv: 117870921920 B
[2025-04-17 18:31:44] CPU: 0.3% | Mem: 48.4% | Net Sent: 76842249310 B | Net Recv: 118060312133 B
[2025-04-17 18:31:50] CPU: 0.0% | Mem: 48.5% | Net Sent: 76843038216 B | Net Recv: 118261889281 B
[2025-04-17 18:31:56] CPU: 0.0% | Mem: 48.5% | Net Sent: 76843145365 B | Net Recv: 118262014702 B
[2025-04-17 18:32:02] CPU: 0.2% | Mem: 49.5% | Net Sent: 76846883258 B | Net Recv: 118628957470 B
[2025-04-17 18:32:08] CPU: 0.1% | Mem: 50.0% | Net Sent: 76846990858 B | Net Recv: 118629488078 B
[2025-04-17 18:32:14] CPU: 0.1% | Mem: 50.5% | Net Sent: 76850103337 B | Net Recv: 118996433401 B
[2025-04-17 18:32:20] CPU: 0.1% | Mem: 51.6% | Net Sent: 76853464973 B | Net Recv: 119386712938 B
[2025-04-17 18:32:26] CPU: 0.1% | Mem: 51.9% | Net Sent: 76853573619 B | Net Recv: 119387246877 B
[2025-04-17 18:32:32] CPU: 0.0% | Mem: 52.5% | Net Sent: 76853884325 B | Net Recv: 119756650733 B
[2025-04-17 18:32:38] CPU: 0.0% | Mem: 53.5% | Net Sent: 76854339179 B | Net Recv: 120126023567 B
[2025-04-17 18:32:44] CPU: 0.3% | Mem: 54.5% | Net Sent: 76854701491 B | Net Recv: 120454593844 B
[2025-04-17 18:32:50] CPU: 0.1% | Mem: 54.6% | Net Sent: 76854839856 B | Net Recv: 120519086189 B
[2025-04-17 18:32:56] CPU: 0.3% | Mem: 55.6% | Net Sent: 76854969821 B | Net Recv: 120598308689 B
[2025-04-17 18:33:02] CPU: 0.0% | Mem: 55.6% | Net Sent: 76855145266 B | Net Recv: 120886767692 B
[2025-04-17 18:33:08] CPU: 0.3% | Mem: 57.5% | Net Sent: 76855360085 B | Net Recv: 121254198911 B
[2025-04-17 18:33:14] CPU: 0.1% | Mem: 56.6% | Net Sent: 76855568743 B | Net Recv: 121254426199 B
[2025-04-17 18:33:20] CPU: 0.0% | Mem: 57.7% | Net Sent: 76855797354 B | Net Recv: 121645173357 B
[2025-04-17 18:33:26] CPU: 0.3% | Mem: 58.6% | Net Sent: 76855996254 B | Net Recv: 121864144906 B
[2025-04-17 18:33:32] CPU: 0.0% | Mem: 58.6% | Net Sent: 76856145912 B | Net Recv: 122012726068 B
[2025-04-17 18:33:38] CPU: 0.1% | Mem: 59.6% | Net Sent: 76856366972 B | Net Recv: 122380200600 B
[2025-04-17 18:33:44] CPU: 0.2% | Mem: 60.2% | Net Sent: 76856580770 B | Net Recv: 122380824453 B
[2025-04-17 18:33:50] CPU: 0.0% | Mem: 60.7% | Net Sent: 76856853779 B | Net Recv: 122771335094 B
[2025-04-17 18:33:56] CPU: 0.0% | Mem: 60.7% | Net Sent: 76856964060 B | Net Recv: 122771464251 B
[2025-04-17 18:34:02] CPU: 0.1% | Mem: 61.7% | Net Sent: 76859226901 B | Net Recv: 123138579197 B
[2025-04-17 18:34:08] CPU: 0.2% | Mem: 62.6% | Net Sent: 76859335689 B | Net Recv: 123139103837 B
[2025-04-17 18:34:14] CPU: 0.1% | Mem: 62.7% | Net Sent: 76859638258 B | Net Recv: 123506334076 B
[2025-04-17 18:34:20] CPU: 0.3% | Mem: 64.3% | Net Sent: 76859923857 B | Net Recv: 123873786896 B
[2025-04-17 18:34:26] CPU: 0.0% | Mem: 63.8% | Net Sent: 76860164339 B | Net Recv: 123897195156 B
[2025-04-17 18:34:32] CPU: 0.0% | Mem: 64.7% | Net Sent: 76861707574 B | Net Recv: 124264305706 B
[2025-04-17 18:34:38] CPU: 0.3% | Mem: 65.7% | Net Sent: 76862980315 B | Net Recv: 124502089405 B
[2025-04-17 18:34:44] CPU: 0.1% | Mem: 65.7% | Net Sent: 76863513556 B | Net Recv: 124631615242 B
[2025-04-17 18:34:50] CPU: 0.2% | Mem: 66.7% | Net Sent: 76863722509 B | Net Recv: 125008656473 B
[2025-04-17 18:34:56] CPU: 0.0% | Mem: 66.8% | Net Sent: 76863838566 B | Net Recv: 125022593501 B
[2025-04-17 18:35:02] CPU: 0.3% | Mem: 67.7% | Net Sent: 76863993924 B | Net Recv: 125152923135 B
[2025-04-17 18:35:08] CPU: 0.0% | Mem: 67.8% | Net Sent: 76866563249 B | Net Recv: 125389872001 B
[2025-04-17 18:35:14] CPU: 0.3% | Mem: 68.7% | Net Sent: 76868412992 B | Net Recv: 125757070497 B
[2025-04-17 18:35:20] CPU: 0.0% | Mem: 69.0% | Net Sent: 76868520608 B | Net Recv: 125757605152 B
[2025-04-17 18:35:26] CPU: 0.0% | Mem: 69.8% | Net Sent: 76870443214 B | Net Recv: 126147559954 B
[2025-04-17 18:35:32] CPU: 0.3% | Mem: 71.1% | Net Sent: 76872040438 B | Net Recv: 126514657429 B
[2025-04-17 18:35:38] CPU: 0.0% | Mem: 70.8% | Net Sent: 76872151365 B | Net Recv: 126514785947 B
[2025-04-17 18:35:44] CPU: 0.1% | Mem: 71.8% | Net Sent: 76873709454 B | Net Recv: 126881951299 B
[2025-04-17 18:35:50] CPU: 0.3% | Mem: 72.8% | Net Sent: 76875118694 B | Net Recv: 127207787570 B
[2025-04-17 18:35:56] CPU: 0.0% | Mem: 72.9% | Net Sent: 76875380010 B | Net Recv: 127272557044 B
