[2025-04-17 18:25:48] CPU: 0.7% | Mem: 15.5% | Net Sent: 67176309668 B | Net Recv: 109356479201 B
[2025-04-17 18:25:54] CPU: 0.2% | Mem: 16.4% | Net Sent: 71198956078 B | Net Recv: 109359692306 B
[2025-04-17 18:26:00] CPU: 0.3% | Mem: 16.4% | Net Sent: 71199070124 B | Net Recv: 109359819190 B
[2025-04-17 18:26:06] CPU: 0.4% | Mem: 15.4% | Net Sent: 75221654879 B | Net Recv: 109361687879 B
[2025-04-17 18:26:12] CPU: 0.3% | Mem: 15.4% | Net Sent: 79499087797 B | Net Recv: 109362593315 B
[2025-04-17 18:26:18] CPU: 0.2% | Mem: 16.4% | Net Sent: 83521641455 B | Net Recv: 109364913782 B
[2025-04-17 18:26:24] CPU: 0.3% | Mem: 16.4% | Net Sent: 83521849501 B | Net Recv: 109365140024 B
[2025-04-17 18:26:30] CPU: 0.8% | Mem: 15.6% | Net Sent: 87544456802 B | Net Recv: 109365675364 B
[2025-04-17 18:26:36] CPU: 0.8% | Mem: 16.5% | Net Sent: 91566997269 B | Net Recv: 109369460947 B
[2025-04-17 18:26:42] CPU: 0.8% | Mem: 15.4% | Net Sent: 91821981465 B | Net Recv: 109369803754 B
[2025-04-17 18:26:48] CPU: 0.2% | Mem: 15.4% | Net Sent: 95844519432 B | Net Recv: 109373008444 B
[2025-04-17 18:26:54] CPU: 0.3% | Mem: 16.3% | Net Sent: 95847530597 B | Net Recv: 109373235056 B
[2025-04-17 18:27:00] CPU: 0.4% | Mem: 15.3% | Net Sent: 99867287449 B | Net Recv: 109376164668 B
[2025-04-17 18:27:06] CPU: 0.3% | Mem: 15.4% | Net Sent: 104144708572 B | Net Recv: 109379640177 B
[2025-04-17 18:27:12] CPU: 0.1% | Mem: 16.4% | Net Sent: 108167278758 B | Net Recv: 109381515901 B
[2025-04-17 18:27:18] CPU: 0.3% | Mem: 15.4% | Net Sent: 108167385946 B | Net Recv: 109381640497 B
[2025-04-17 18:27:24] CPU: 0.4% | Mem: 15.4% | Net Sent: 112190002942 B | Net Recv: 109385463106 B
[2025-04-17 18:27:30] CPU: 0.5% | Mem: 16.4% | Net Sent: 114969023474 B | Net Recv: 109388076583 B
[2025-04-17 18:27:36] CPU: 0.4% | Mem: 15.3% | Net Sent: 116467536162 B | Net Recv: 109389254772 B
[2025-04-17 18:27:42] CPU: 0.3% | Mem: 15.2% | Net Sent: 120490088270 B | Net Recv: 109391926790 B
[2025-04-17 18:27:48] CPU: 0.2% | Mem: 16.2% | Net Sent: 122524202452 B | Net Recv: 109393692829 B
[2025-04-17 18:27:54] CPU: 0.4% | Mem: 15.2% | Net Sent: 124512847238 B | Net Recv: 109395137147 B
[2025-04-17 18:28:00] CPU: 0.4% | Mem: 15.3% | Net Sent: 128790250155 B | Net Recv: 109398137469 B
[2025-04-17 18:28:06] CPU: 0.2% | Mem: 16.2% | Net Sent: 132812785925 B | Net Recv: 109401161035 B
[2025-04-17 18:28:12] CPU: 0.9% | Mem: 15.7% | Net Sent: 132812893849 B | Net Recv: 109401287810 B
[2025-04-17 18:28:18] CPU: 0.7% | Mem: 17.2% | Net Sent: 133744925988 B | Net Recv: 109402358940 B
[2025-04-17 18:28:24] CPU: 0.4% | Mem: 16.1% | Net Sent: 136835642660 B | Net Recv: 109405488530 B
[2025-04-17 18:28:30] CPU: 0.3% | Mem: 16.1% | Net Sent: 141113055278 B | Net Recv: 109408298907 B
[2025-04-17 18:28:36] CPU: 0.1% | Mem: 17.0% | Net Sent: 142624652195 B | Net Recv: 109409631498 B
[2025-04-17 18:28:42] CPU: 0.4% | Mem: 16.0% | Net Sent: 145135712161 B | Net Recv: 109411076041 B
[2025-04-17 18:28:48] CPU: 0.4% | Mem: 16.0% | Net Sent: 149158263163 B | Net Recv: 109413761066 B
[2025-04-17 18:28:54] CPU: 0.2% | Mem: 17.0% | Net Sent: 153180911768 B | Net Recv: 109416431088 B
[2025-04-17 18:29:00] CPU: 0.5% | Mem: 16.1% | Net Sent: 153435901806 B | Net Recv: 109416681480 B
[2025-04-17 18:29:06] CPU: 0.8% | Mem: 16.0% | Net Sent: 157458447658 B | Net Recv: 109420847882 B
[2025-04-17 18:29:12] CPU: 0.3% | Mem: 15.9% | Net Sent: 157458554323 B | Net Recv: 109420971572 B
[2025-04-17 18:29:18] CPU: 0.3% | Mem: 15.9% | Net Sent: 161481094136 B | Net Recv: 109424410868 B
[2025-04-17 18:29:24] CPU: 0.2% | Mem: 16.9% | Net Sent: 165503745735 B | Net Recv: 109427876604 B
[2025-04-17 18:29:30] CPU: 0.4% | Mem: 15.9% | Net Sent: 165758739212 B | Net Recv: 109428183971 B
[2025-04-17 18:29:36] CPU: 0.4% | Mem: 15.8% | Net Sent: 169781253450 B | Net Recv: 109431538843 B
[2025-04-17 18:29:42] CPU: 0.1% | Mem: 16.9% | Net Sent: 173803788385 B | Net Recv: 109434542030 B
[2025-04-17 18:29:48] CPU: 0.3% | Mem: 16.3% | Net Sent: 173803912044 B | Net Recv: 109434686779 B
[2025-04-17 18:29:54] CPU: 0.9% | Mem: 16.1% | Net Sent: 178081422139 B | Net Recv: 109436705261 B
[2025-04-17 18:30:00] CPU: 0.9% | Mem: 16.3% | Net Sent: 178081602964 B | Net Recv: 109439584782 B
[2025-04-17 18:30:06] CPU: 0.2% | Mem: 16.0% | Net Sent: 182104125332 B | Net Recv: 109443584350 B
[2025-04-17 18:30:12] CPU: 0.2% | Mem: 16.9% | Net Sent: 182108607877 B | Net Recv: 109443709809 B
[2025-04-17 18:30:18] CPU: 0.4% | Mem: 15.9% | Net Sent: 186126788513 B | Net Recv: 109446752849 B
[2025-04-17 18:30:24] CPU: 0.4% | Mem: 15.8% | Net Sent: 190404320044 B | Net Recv: 109449768571 B
[2025-04-17 18:30:30] CPU: 0.2% | Mem: 16.7% | Net Sent: 190408658226 B | Net Recv: 109449894444 B
[2025-04-17 18:30:36] CPU: 0.4% | Mem: 15.8% | Net Sent: 194426955803 B | Net Recv: 109452328512 B
[2025-04-17 18:30:42] CPU: 0.3% | Mem: 15.8% | Net Sent: 198449565927 B | Net Recv: 109452580138 B
[2025-04-17 18:30:48] CPU: 0.1% | Mem: 15.8% | Net Sent: 202503589130 B | Net Recv: 109452833368 B
[2025-04-17 18:30:54] CPU: 0.9% | Mem: 16.1% | Net Sent: 202727251489 B | Net Recv: 109453067663 B
[2025-04-17 18:31:00] CPU: 0.8% | Mem: 17.0% | Net Sent: 205872750531 B | Net Recv: 109455220190 B
[2025-04-17 18:31:06] CPU: 0.4% | Mem: 15.9% | Net Sent: 206749912487 B | Net Recv: 109456176559 B
[2025-04-17 18:31:12] CPU: 0.3% | Mem: 15.9% | Net Sent: 210772465987 B | Net Recv: 109459309881 B
[2025-04-17 18:31:18] CPU: 0.2% | Mem: 16.9% | Net Sent: 214795024006 B | Net Recv: 109462508771 B
[2025-04-17 18:31:24] CPU: 0.4% | Mem: 15.9% | Net Sent: 215050115640 B | Net Recv: 109462790533 B
[2025-04-17 18:31:30] CPU: 0.4% | Mem: 15.8% | Net Sent: 219072691652 B | Net Recv: 109463420798 B
[2025-04-17 18:31:36] CPU: 0.1% | Mem: 16.8% | Net Sent: 223095257930 B | Net Recv: 109464444634 B
[2025-04-17 18:31:42] CPU: 0.3% | Mem: 15.9% | Net Sent: 223095364380 B | Net Recv: 109464568099 B
[2025-04-17 18:31:48] CPU: 0.8% | Mem: 16.3% | Net Sent: 227372758289 B | Net Recv: 109466192637 B
[2025-04-17 18:31:54] CPU: 0.9% | Mem: 16.7% | Net Sent: 227372976142 B | Net Recv: 109466423244 B
[2025-04-17 18:32:00] CPU: 0.8% | Mem: 17.7% | Net Sent: 230930186970 B | Net Recv: 109469741509 B
[2025-04-17 18:32:06] CPU: 0.4% | Mem: 16.6% | Net Sent: 231395633719 B | Net Recv: 109470302399 B
[2025-04-17 18:32:12] CPU: 0.3% | Mem: 16.5% | Net Sent: 235418168567 B | Net Recv: 109473326965 B
[2025-04-17 18:32:18] CPU: 0.1% | Mem: 17.4% | Net Sent: 239440702900 B | Net Recv: 109476631661 B
[2025-04-17 18:32:24] CPU: 0.4% | Mem: 16.4% | Net Sent: 239695793167 B | Net Recv: 109476925574 B
[2025-04-17 18:32:30] CPU: 0.4% | Mem: 16.3% | Net Sent: 243718368993 B | Net Recv: 109477254671 B
